Date,Open,High,Low,Volume,Close
1/2/1998,0.121652,0.145089,0.120536,718110400,0.141741
1/5/1998,0.147321,0.147879,0.135603,651873600,0.169085
1/6/1998,0.142299,0.178571,0.131696,1812473600,0.15625
1/7/1998,0.167969,0.169643,0.154576,1041622400,0.162388
1/8/1998,0.155692,0.166295,0.151228,774020800,0.162388
1/9/1998,0.16183,0.172991,0.15625,886547200,0.162946
1/12/1998,0.155692,0.166295,0.152902,516398400,0.174107
1/13/1998,0.166295,0.175223,0.165179,636854400,0.176339
1/14/1998,0.177455,0.178013,0.171875,589265600,0.171317
1/15/1998,0.171317,0.176339,0.166295,559272000,0.167969
1/16/1998,0.173549,0.173549,0.166853,246355200,0.170201
1/20/1998,0.170201,0.172433,0.166295,241561600,0.168806
1/21/1998,0.167411,0.170201,0.165737,190209600,0.171875
1/22/1998,0.166853,0.176339,0.166295,329728000,0.174107
1/23/1998,0.172991,0.175781,0.171875,233161600,0.173549
1/26/1998,0.173549,0.174665,0.167969,146440000,0.170759
1/27/1998,0.171317,0.175781,0.169643,112235200,0.171317
1/28/1998,0.171317,0.172991,0.166295,151121600,0.165179
1/29/1998,0.169085,0.170759,0.165179,211881600,0.163504
1/30/1998,0.163504,0.168527,0.162946,162444800,0.157924
2/2/1998,0.165179,0.165179,0.155134,636742400,0.163504
2/3/1998,0.157924,0.166295,0.157924,402617600,0.162946
2/4/1998,0.161272,0.165179,0.160714,170195200,0.163504
2/5/1998,0.162946,0.165179,0.160714,238268800,0.165179
2/6/1998,0.164063,0.166853,0.162946,202339200,0.171317
2/9/1998,0.164063,0.174107,0.164063,494670400,0.173549
2/10/1998,0.170759,0.174665,0.170201,422016000,0.169643
2/11/1998,0.174107,0.174107,0.168527,211668800,0.172991
2/12/1998,0.170759,0.173549,0.170201,203750400,0.174107
2/13/1998,0.171317,0.177455,0.169643,207995200,0.175223
2/17/1998,0.174107,0.176339,0.174107,182750400,0.183594
2/18/1998,0.174665,0.185268,0.174665,494592000,0.182478
2/19/1998,0.186384,0.186942,0.178571,399660800,0.178571
2/20/1998,0.183036,0.183594,0.176897,325416000,0.189732
2/23/1998,0.179688,0.19308,0.178571,477489600,0.19029
2/24/1998,0.19029,0.190848,0.185268,456590400,0.199219
2/25/1998,0.19029,0.203125,0.186942,712667200,0.209821
2/26/1998,0.199219,0.210379,0.195313,595134400,0.210938
2/27/1998,0.208147,0.21317,0.201451,519601600,0.203125
3/2/1998,0.210379,0.210379,0.198661,400444800,0.206473
3/3/1998,0.195313,0.207031,0.19308,334073600,0.218192
3/4/1998,0.204241,0.220982,0.204241,817824000,0.214844
3/5/1998,0.207589,0.216518,0.206473,675124800,0.218192
3/6/1998,0.21317,0.21875,0.208705,666467200,0.203125
3/9/1998,0.212054,0.217076,0.200893,574929600,0.214844
3/10/1998,0.205357,0.21875,0.204799,712902400,0.233259
3/11/1998,0.22433,0.233817,0.219308,1214337600,0.241071
3/12/1998,0.233259,0.241071,0.228237,744363200,0.242188
3/13/1998,0.243304,0.243304,0.234375,566160000,0.238281
3/16/1998,0.242188,0.243304,0.233817,402360000,0.235212
3/17/1998,0.236607,0.238281,0.231027,410256000,0.240513
3/18/1998,0.232143,0.240513,0.232143,276998400,0.238839
3/19/1998,0.239955,0.240513,0.237165,160059200,0.235491
3/20/1998,0.238281,0.239955,0.232143,215476800,0.233259
3/23/1998,0.231585,0.234375,0.219866,414736000,0.25
3/24/1998,0.235491,0.25,0.234375,675931200,0.242467
3/25/1998,0.246652,0.247768,0.235491,387374400,0.237165
3/26/1998,0.238839,0.241071,0.236049,202966400,0.240513
3/27/1998,0.237723,0.243862,0.235491,255595200,0.244978
3/30/1998,0.238839,0.245536,0.238839,250700800,0.245536
3/31/1998,0.244978,0.248326,0.243304,266896000,0.245536
4/1/1998,0.244978,0.248326,0.241629,186883200,0.243862
4/2/1998,0.243862,0.244978,0.240513,194308800,0.241629
4/3/1998,0.242188,0.243304,0.239397,203067200,0.234375
4/6/1998,0.241071,0.241071,0.233817,347592000,0.227679
4/7/1998,0.230469,0.232143,0.222098,292700800,0.223214
4/8/1998,0.225446,0.226563,0.220424,225198400,0.228795
4/9/1998,0.223772,0.231027,0.223214,170307200,0.236049
4/13/1998,0.228795,0.238281,0.223214,288299200,0.240513
4/14/1998,0.235491,0.243304,0.235491,327846400,0.244978
4/15/1998,0.242746,0.245536,0.237723,557513600,0.25558
4/16/1998,0.261161,0.264509,0.251674,1837953600,0.249442
4/17/1998,0.255022,0.25558,0.24721,592166400,0.258929
4/20/1998,0.246652,0.263393,0.246094,517776000,0.258929
4/21/1998,0.259487,0.260045,0.254464,348028800,0.245536
4/22/1998,0.256696,0.258929,0.245536,284950400,0.24721
4/23/1998,0.244978,0.258929,0.242746,475294400,0.249442
4/24/1998,0.247768,0.252232,0.245536,215544000,0.247768
