Date,Open,High,Low,Volume,Close
3/25/2021,32346.81,32672.69,32071.41,411990000,33072.88
3/26/2021,32681.07,33098.83,32681.07,382170000,33171.37
3/29/2021,33087.55,33259,32905.13,351610000,33066.96
3/30/2021,33127.88,33170.93,32988.92,307510000,32981.55
3/31/2021,33116.04,33173.77,32980.57,414140000,33153.21
4/1/2021,33054.58,33167.17,32985.35,3118800,33527.19
4/5/2021,33222.38,33617.95,33222.38,344270000,33430.24
4/6/2021,33500.02,33544.79,33380.43,297940000,33446.26
4/7/2021,33444.98,33521.76,33347.96,273440000,33503.57
4/8/2021,33469.89,33506.8,33342.64,304040000,33586.27
